Event_ID,Event_Date,Category,Trigger/Cause,Response,Infrastructure,Intervention,Trajectory,Rationale
E001,January,Nature Events,"Rivers frozen, soils saturated/frozen, snowpack accumulation, extreme cold, heavy precipitation, and cumulative snowfall creating high runoff risk.",,,,,"The event is driven by natural conditions leading to flood risk, with infrastructure vulnerability and preparatory human response noted, fitting allowed categories."
E002,2.2,Nature Events,"Winter weather system with snowfall, strong winds, and dangerously low temperatures",,,,,"Event is primarily a natural weather phenomenon with official warnings and public guidance as responses, but no active interventions or infrastructure changes are described."
E003,2.19,Nature Events,"ice jams, fragmented ice accumulation, existing snowpack, recent storms, rising temperatures, rainfall",,,,,"The event centers on natural causes like ice jams and weather, but includes official monitoring, warnings, and preparations as responses and interventions to the flood trajectory."
E004,2.23,Nature Events,record-breaking February snowfall,,,,,"Snowfall is the natural event, while monitoring, infrastructure concerns, advisories, and flood risks represent responses, infrastructure, interventions, and trajectories respectively."
E005,3.3,Nature Events,"Dramatic temperature surge causing rapid snow and ice melt, with frozen ground hindering water absorption",,,,,"The event is driven by natural temperature extremes and snowmelt, with human monitoring and warnings as reactive measures to the environmental threat."
E006,3.4,Nature Events,"extreme snowfall, ice jams, rapid meltwater runoff, unseasonably cold temperatures",,,,,"The event describes natural triggers causing infrastructure strain and flood risks, with authorities issuing warnings as intervention and projected severe inundation as trajectory."
E007,3.5,Nature Events,"historic three-day blizzard, snowiest season in 70 years",,,,,"The description focuses solely on extreme snowfall and blizzard conditions as natural phenomena, with no human responses, infrastructure impacts, interventions, or trajectories mentioned."
E008,3.6,Nature Events,"Unseasonably cold temperatures maintaining deeply frozen ground conditions, delaying spring thaw cycles.",,,,,"The event describes natural conditions and their projected environmental trajectory, with no human responses, infrastructure, or interventions mentioned."
E009,3.7-8,Nature Events,"Persistent unseasonable cold, sustained freezing, heavy snowfall, and their combined effects on ground and river conditions.",,,,,"The description focuses on natural phenomena and their progression toward flooding, which fits Nature Events and Trajectories categories."
E010,3.9,Nature Events,"Prolonged unseasonably cold temperatures, frozen ground, snowpack, and persistent ice buildup on rivers and creeks",,,,,"The event describes natural cold and ice conditions triggering emergency response, with infrastructure at risk and interventions deployed to manage potential flood trajectory."
E011,2025-03-10 00:00:00,Nature Events,"Deep Snow Accumulation, Thick River Ice, Frozen Ground Impedes Absorption, Heavy Rain & Bomb Cyclone Threat",,,,,"The description focuses on natural phenomena causing the event, with infrastructure mentioned as overwhelmed and trajectory indicating potential flood outcomes."
E012,3.11,Nature Events,"Temperature surge, rapid snowmelt, blizzard conditions, snow-rain runoff crisis",,,,,"The event is driven by natural phenomena leading to infrastructure impacts and hydrological trajectory changes, fitting the Nature Events category."
E013,3.12,Nature Events,"Bomb Cyclone Ulmer with torrential rains, blizzard conditions, and rapid snowmelt from temperature surge",,,,,"The event is driven by natural phenomena, but the description includes infrastructure impacts, emergency response, government intervention, and evolving flood conditions fitting all categories."
E014,3.13,Nature Events,Blizzard with heavy snow and high winds; river flooding from snowmelt and rainfall causing rivers to exceed flood stages,,,,,"The event is driven by natural phenomena (blizzard and flooding), with clear infrastructure impacts, emergency responses, interventions, and forecasted trajectories fitting all categories."
E015,3.14,Nature Events,torrential snowmelt and rainfall overwhelming frozen soil absorption capacity,,,,,"Natural triggers caused dam failure and flooding, prompting emergency responses and infrastructure damage."
E016,3.15,Nature Events,"Heavy rainfall, combined with impermeable frozen ground, triggered catastrophic flash flooding.",,,,,"The event originates from natural causes, but includes infrastructure impacts, emergency responses, interventions, and escalating consequences that fit all category definitions."
E017,3.16,Nature Events,"The bomb cyclone’s meltwater and rainfall overwhelmed riverbanks, causing the Missouri River at Plattsmouth to swell to a record 40.62 feet.",,,,,"The event includes natural causes, infrastructure damage, rescue interventions, and the flood's trajectory, requiring all relevant categories to be filled."
E018,3.17,Nature Events,"The Missouri River crested under extreme pressure, leading to flash floods and widespread inundation.",,,,,"The event centers on a natural river crest causing floods, with infrastructure damage and interventions as secondary effects."
E019,3.18,Nature Events,"unprecedented flood toll, ice-driven flood surges, rapid snowmelt, frozen ground impermeability, ice-jam dynamics",,,,,"The event centers on natural flood causes, but includes human responses, infrastructure impacts, interventions, and future risk trajectories that must be annotated per allowed categories."
E020,3.19,Trajectories,,,,,"Revealed agricultural damage, livestock crisis relief, cross-state impacts extending to Iowa","The event details the progression of flood impacts, including recovery, damage assessment, and coordinated interventions, fitting the Trajectories category by showing evolving consequences and responses over time."
E021,3.21,Nature Events,Missouri River catastrophic breach,,,,,"The event describes flood impacts and damage assessment as the primary focus, with interventions and infrastructure responses as secondary elements."
E022,3.23,Interventions,,,,"Fundraising drive, infrastructure repairs, mobile labs, federal aid expansion",,"The description focuses on organized actions to address flood impacts and recovery, fitting the Interventions category, with supporting elements from other categories."
